field_id,role,bucket,constructible,peer_count,peer_ok,physical_hash,source,init_kind,dynamics,occupancy_n,predicted_risk,disagreement,abs_z1,abs_z2,match_score_vs_bank,pathology_flag,review_status
cent_al_f00_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,617c69e40aeb3e0a,C_virtual,unimodal_strong,polar_kernel,1.0,0.28540107661335956,0.046357906466299136,0.998001469321689,0.9921188698971454,0.009879660781165422,ok,pending_human_review
cent_al_f01_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,921d65a15e117c9e,C_virtual,unimodal_strong,second_harmonic_kernel,1.0,0.3063873452415051,0.2331149946814134,0.998001469321689,0.9921188698971454,0.009879660781165422,ok,pending_human_review
cent_al_f02_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,f3ec78b59e14558c,C_virtual,unimodal_strong,soft_polar,1.0,0.3118574445443107,0.22937341111565446,0.9999999999999999,0.9999999999999999,0.0,ok,pending_human_review
cent_al_f03_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,b3b9b46946539d57,C_virtual,unimodal_moderate,polar_kernel,0.9560117302052786,0.2670548481015882,0.07080069671292996,0.9962661664940418,0.9852375637773085,0.018496269728649484,ok,pending_human_review
cent_al_f04_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,e91a65857a159cd3,C_virtual,unimodal_moderate,second_harmonic_kernel,0.9560117302052786,0.31230618867617815,0.23232096094332857,0.9999999999999999,0.9999999999999999,0.0,ok,pending_human_review
cent_al_f05_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,e91a65857a159cd3,C_virtual,unimodal_strong,polar_kernel,0.9560117302052786,0.31230618867617815,0.23232096094332857,0.9999999999999999,0.9999999999999999,0.0,ok,pending_human_review
cent_al_f06_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,b3b9b46946539d57,C_virtual,unimodal_strong,second_harmonic_kernel,0.9560117302052786,0.2670548481015882,0.07080069671292996,0.9962661664940418,0.9852375637773085,0.018496269728649484,ok,pending_human_review
cent_al_f07_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,e91a65857a159cd3,C_virtual,unimodal_strong,soft_polar,0.9560117302052786,0.31230618867617815,0.23232096094332857,0.9999999999999999,0.9999999999999999,0.0,ok,pending_human_review
cent_al_f08_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,d294fc9a8e145974,C_virtual,asymmetric_two_cluster,polar_kernel,0.9560117302052786,0.311450537066379,0.38630172000553226,0.9852375637773085,0.9437293044088437,0.07103313181384752,ok,pending_human_review
cent_al_f09_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,e91a65857a159cd3,C_virtual,asymmetric_two_cluster,second_harmonic_kernel,0.9560117302052786,0.31230618867617815,0.23232096094332857,0.9999999999999999,0.9999999999999999,0.0,ok,pending_human_review
cent_al_f10_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,06e02e8ce120617f,C_virtual,asymmetric_two_cluster,soft_polar,0.9560117302052786,0.25931426630721366,0.2390511960070806,0.9877521545456269,0.9518137464987337,0.060434098955639115,ok,pending_human_review
cent_al_f11_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,86dad82f9f8ed616,C_virtual,asymmetric_two_cluster,polar_kernel,1.0,0.30515987998696625,0.12309720021038388,0.9836771054755072,0.937937888429133,0.0026317977381667967,ok,pending_human_review
cent_al_f12_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,510218b8bef8445c,C_virtual,unimodal_strong,polar_kernel,1.0,0.32305455047111964,0.2399091708171335,0.9804276428494646,0.9291993382174323,0.0009151229067974054,ok,pending_human_review
cent_al_f13_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,f873a888cfc5cb61,C_virtual,asymmetric_two_cluster,polar_kernel,1.0,0.31087167056481463,0.2983308814922338,0.9784334994588838,0.9228719630283033,0.07768844127200114,ok,pending_human_review
cent_al_f14_n17_p16,active_learning,high_occupancy_high_risk,yes_fixed_histogram,16,True,eab5acd008f852c1,C_virtual,asymmetric_two_cluster,soft_polar,1.0,0.2918700461761089,0.3988490989032201,1.0,1.0,0.018496269728649817,ok,pending_human_review
cent_al_f15_n9_p8,active_learning,high_occupancy_high_risk,yes_fixed_histogram,8,True,a481469be9d8879c,C_virtual,unimodal_moderate,soft_polar,0.9560117302052786,0.30009602903574656,0.13380885345194635,0.982999824109709,0.933613692283465,0.06489021387817606,ok,pending_human_review
cent_al_f16_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,8be7873ea4beef2f,C_virtual,unimodal_weak,second_harmonic_kernel,0.01466275659824047,0.36543923276628754,0.2611611139634069,0.7464421681266855,0.9852375637773084,0.017146964698918854,ok,pending_human_review
cent_al_f17_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,9cee0f12a093b025,C_virtual,unimodal_moderate,second_harmonic_kernel,0.01466275659824047,0.338080081668029,0.3264801928960821,0.7464421681266853,0.9680905990783898,0.017146964698918854,ok,pending_human_review
cent_al_f18_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,227720d31c302879,C_virtual,unimodal_moderate,soft_polar,0.05278592375366569,0.32899877846998926,0.16276791556847117,0.7414814565722672,0.5153882032022075,0.05768019147902437,ok,pending_human_review
cent_al_f19_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,1db2f7a89d9b7c01,C_virtual,asymmetric_two_cluster,kernel_nn,0.07331378299120235,0.3535448863838194,0.15852273654332413,0.8201039844286642,0.5514767336311909,0.022722229636703895,ok,pending_human_review
cent_al_f20_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,a9a40697da9acd6e,C_virtual,asymmetric_two_cluster,kernel_nn,0.08504398826979472,0.37301769502575266,0.27935704071737816,0.8802832811876804,0.6089444095057149,0.0,ok,pending_human_review
cent_al_f21_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,710e0b17f46e930c,C_virtual,asymmetric_two_cluster,kernel_nn,0.02932551319648094,0.3355605415660828,0.11005637886758386,0.7745090084859765,0.5205127574408541,0.13722087420430962,ok,pending_human_review
cent_al_f22_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,72a5fbbdf1aef8f6,C_virtual,unimodal_moderate,polar_kernel,0.093841642228739,0.36975697094347965,0.2811963658932366,0.6548191727030512,0.4378204039691804,0.09867871552417912,ok,pending_human_review
cent_al_f23_n9_p8,active_learning,model_disagreement,yes_fixed_histogram,8,True,d18fe1328c24deab,C_virtual,unimodal_weak,soft_polar,0.41935483870967744,0.3055455001740441,0.15969563421272073,0.9829998241097091,0.9336136922834649,0.05473157070125789,ok,pending_human_review
cent_al_f24_n9_p8,active_learning,k0_or_drift,yes_fixed_histogram,8,True,e10ce641e450742d,B_k0_drift,unimodal_strong,k0,0.9560117302052786,0.28662747335466,0.26975195582060313,0.9709435122414051,0.8884384167107072,0.06705719168951818,ok,pending_human_review
cent_al_f25_n9_p8,active_learning,k0_or_drift,yes_fixed_histogram,8,True,223292c9b9b466be,B_k0_drift,unimodal_strong,k0,0.41935483870967744,0.3552083186558595,0.22722973727881643,0.945622933841472,0.7917973585948906,0.06663150638005999,ok,pending_human_review
cent_al_f26_n9_p8,active_learning,k0_or_drift,yes_fixed_histogram,8,True,770b81792a283a18,B_k0_drift,unimodal_strong,k0,0.41935483870967744,0.33899097466735345,0.14982519604799938,0.9600320162737876,0.8489364269942986,0.011044732873253027,ok,pending_human_review
cent_al_f27_n9_p8,active_learning,k0_or_drift,yes_fixed_histogram,8,True,5a7b9fbe306f42ca,B_k0_drift,unimodal_strong,k0,0.41935483870967744,0.35253150132564837,0.3067793239120163,0.9412435652024183,0.7791863390397126,0.042545458788823654,ok,pending_human_review
cent_al_f28_n9_p8,active_learning,k0_or_drift,yes_fixed_histogram,8,True,ada663afaa83933a,B_k0_drift,three_cluster,k0,0.05278592375366569,0.38058434865125595,0.13672728326280348,0.0647047612756303,0.16199401630110577,0.07770852489540622,ok,pending_human_review
cent_al_f29_n17_p16,active_learning,k0_or_drift,yes_fixed_histogram,16,True,45ae3b359531e035,B_k0_drift,unimodal_strong,k0,0.3284457478005865,0.34279228778677934,0.054154519201032376,0.8978721491200702,0.6335828545745064,0.009576893571470402,ok,pending_human_review
cent_ctrl_unimodal_positive_polar,centers_unimodal_positive_polar,control,yes_catalog_fixed_snapshot,16,True,c8c7881b36f7bf19,catalog_control,cent_tmp_peer16_unimodal_k9,none,,0.2802840078395839,0.13125182267691468,0.9497920890228576,0.8128327173651196,0.0,ok,pending_human_review
cent_ctrl_unimodal_sign_reversed,centers_sign_reversed_anchor,control,yes_catalog_fixed_snapshot,16,True,6721e33dcc4bb39f,catalog_control,cent_tmp_peer16_unimodal_k9,none,,0.29800736833116326,0.1371673365333835,0.9497920890228575,0.8128327173651194,0.0,ok,pending_human_review
cent_ctrl_exact_antipodal,exact_antipodal,control,yes_catalog_fixed_snapshot,16,True,3dbbe347116d9c52,catalog_control,sparse_peer16_antipodal_8_8_r00_k6,none,,0.3443438859433958,0.062202466081822706,2.7755575615628914e-17,0.7588684674870274,0.0,ok,pending_human_review
cent_ctrl_small_imbalance,small_imbalance,control,yes_catalog_fixed_snapshot,16,True,b18b3fb8b8a4abb2,catalog_control,sparse_peer16_antipodal_9_7_r00_k6,none,,0.29635325832564613,0.2033804459771352,0.12074072828613354,0.8735564634380385,0.0,ok,pending_human_review
cent_ctrl_sparse_unimodal,sparse_unimodal,control,yes_catalog_fixed_snapshot,8,True,1161587d734c41ca,catalog_control,sparse_N8_unimodal_k6,none,,0.2374570322011587,0.4831303189652208,0.9250306488875357,0.7244443697168013,0.0,ok,pending_human_review
cent_ctrl_sparse_antipodal,sparse_antipodal,control,yes_catalog_fixed_snapshot,16,True,a96cd679f2700a60,catalog_control,sparse_N16_antipodal_k6,none,,0.36038532079436536,0.14376106887848725,0.0,0.724444369716801,0.0,ok,pending_human_review
