field_id,between_target_TV,within_block_TV
mrc_replay_f00,0.6458333333333334,0.041666666666666664
mrc_replay_f01,0.3333333333333333,0.10416666666666667
mrc_replay_f02,0.2708333333333333,0.020833333333333332
mrc_replay_f03,0.1875,0.0625
mrc_replay_f04,0.0,0.0
mrc_replay_f05,0.20833333333333334,0.125
mrc_replay_f06,0.5,0.020833333333333332
mrc_replay_f07,0.125,0.08333333333333333
mrc_replay_f08,0.4791666666666667,0.125
mrc_replay_f09,0.3020833333333333,0.10416666666666667
mrc_replay_f10,0.5416666666666666,0.14583333333333334
mrc_replay_f11,0.375,0.10416666666666667
mrc_replay_f12,0.6666666666666666,0.10416666666666667
mrc_replay_f13,0.7083333333333334,0.08333333333333333
mrc_replay_f14,0.5,0.041666666666666664
mrc_replay_f15,0.2916666666666667,0.041666666666666664
mrc_replay_f16,0.1875,0.041666666666666664
mrc_replay_f17,0.5,0.2916666666666667
mrc_replay_f18,0.3541666666666667,0.08333333333333333
mrc_replay_f19,0.3333333333333333,0.041666666666666664
mrc_replay_f20,0.20833333333333334,0.08333333333333333
mrc_replay_f21,0.08333333333333333,0.0625
mrc_replay_f22,0.5,0.16666666666666666
mrc_replay_f23,0.07291666666666667,0.041666666666666664
mrc_replay_f24,0.19791666666666666,0.22916666666666666
mrc_replay_f25,0.1875,0.14583333333333334
mrc_replay_f26,0.5208333333333334,0.10416666666666667
mrc_replay_f27,0.22916666666666666,0.020833333333333332
mrc_replay_f28,0.0,0.0
mrc_replay_f29,0.20833333333333334,0.10416666666666667
mrc_replay_f30,0.2916666666666667,0.041666666666666664
mrc_replay_f31,0.0625,0.041666666666666664
mrc_replay_f32,0.22916666666666666,0.14583333333333334
mrc_replay_f33,0.5729166666666666,0.041666666666666664
mrc_replay_f34,0.4375,0.041666666666666664
mrc_replay_f35,0.25,0.08333333333333333
mrc_replay_f36,0.8958333333333334,0.125
mrc_replay_f37,0.0,0.0
mrc_replay_f38,0.4375,0.10416666666666667
mrc_replay_f39,0.5625,0.0625
mrc_replay_f40,0.59375,0.08333333333333333
mrc_replay_f41,0.5833333333333334,0.14583333333333334
mrc_replay_f42,0.6041666666666666,0.0625
mrc_replay_f43,0.14583333333333334,0.10416666666666667
mrc_replay_f44,0.0625,0.14583333333333334
mrc_replay_f45,0.4791666666666667,0.20833333333333334
mrc_replay_f46,0.125,0.10416666666666667
mrc_replay_f47,0.4791666666666667,0.22916666666666666
