family,field_id,stratum,mean_pairwise_TV,dTV_MC,dTV_MI,dTV_CI
gpt,mrc_replay_f00,early_transient,0.6458333333333334,0.25,0.9375,0.75
gpt,mrc_replay_f01,early_transient,0.3333333333333333,0.09375,0.5,0.40625
gpt,mrc_replay_f02,early_transient,0.2708333333333333,0.0,0.40625,0.40625
gpt,mrc_replay_f03,pre_onset,0.1875,0.125,0.28125,0.15625
gpt,mrc_replay_f04,pre_onset,0.0,0.0,0.0,0.0
gpt,mrc_replay_f05,pre_onset,0.20833333333333334,0.1875,0.3125,0.125
gpt,mrc_replay_f06,post_onset,0.5,0.03125,0.75,0.71875
gpt,mrc_replay_f07,post_onset,0.125,0.0,0.1875,0.1875
gpt,mrc_replay_f08,post_onset,0.4791666666666667,0.65625,0.375,0.40625
gpt,mrc_replay_f09,ordered_state,0.3020833333333333,0.4375,0.4375,0.03125
gpt,mrc_replay_f10,ordered_state,0.5416666666666666,0.78125,0.8125,0.03125
gpt,mrc_replay_f11,ordered_state,0.375,0.5625,0.15625,0.40625
gpt,mrc_replay_f12,negative_K,0.6666666666666666,0.90625,0.875,0.21875
gpt,mrc_replay_f13,negative_K,0.7083333333333334,0.96875,0.59375,0.5625
gpt,mrc_replay_f14,negative_K,0.5,0.1875,0.75,0.5625
gpt,mrc_replay_f15,high_r2,0.2916666666666667,0.4375,0.4375,0.0
gpt,mrc_replay_f16,high_r2,0.1875,0.28125,0.25,0.03125
gpt,mrc_replay_f17,high_r2,0.5,0.75,0.4375,0.3125
gpt,mrc_replay_f18,early_transient,0.3541666666666667,0.03125,0.53125,0.5
gpt,mrc_replay_f19,early_transient,0.3333333333333333,0.03125,0.5,0.46875
gpt,mrc_replay_f20,early_transient,0.20833333333333334,0.03125,0.3125,0.28125
gpt,mrc_replay_f21,early_transient,0.08333333333333333,0.125,0.0,0.125
gpt,mrc_replay_f22,early_transient,0.5,0.15625,0.75,0.59375
gpt,mrc_replay_f23,pre_onset,0.07291666666666667,0.09375,0.09375,0.03125
gpt,mrc_replay_f24,pre_onset,0.19791666666666666,0.28125,0.25,0.0625
gpt,mrc_replay_f25,pre_onset,0.1875,0.28125,0.09375,0.1875
gpt,mrc_replay_f26,pre_onset,0.5208333333333334,0.75,0.09375,0.71875
gpt,mrc_replay_f27,pre_onset,0.22916666666666666,0.34375,0.3125,0.03125
gpt,mrc_replay_f28,post_onset,0.0,0.0,0.0,0.0
gpt,mrc_replay_f29,post_onset,0.20833333333333334,0.28125,0.1875,0.15625
gpt,mrc_replay_f30,post_onset,0.2916666666666667,0.0,0.4375,0.4375
gpt,mrc_replay_f31,post_onset,0.0625,0.03125,0.09375,0.0625
gpt,mrc_replay_f32,post_onset,0.22916666666666666,0.09375,0.34375,0.25
gpt,mrc_replay_f33,ordered_state,0.5729166666666666,0.84375,0.28125,0.59375
gpt,mrc_replay_f34,ordered_state,0.4375,0.65625,0.09375,0.5625
gpt,mrc_replay_f35,ordered_state,0.25,0.375,0.0625,0.3125
gpt,mrc_replay_f36,ordered_state,0.8958333333333334,0.71875,1.0,0.96875
gpt,mrc_replay_f37,ordered_state,0.0,0.0,0.0,0.0
gpt,mrc_replay_f38,negative_K,0.4375,0.40625,0.65625,0.25
gpt,mrc_replay_f39,negative_K,0.5625,0.5625,0.8125,0.3125
gpt,mrc_replay_f40,negative_K,0.59375,0.875,0.84375,0.0625
gpt,mrc_replay_f41,negative_K,0.5833333333333334,0.09375,0.875,0.78125
gpt,mrc_replay_f42,negative_K,0.6041666666666666,0.78125,0.90625,0.125
gpt,mrc_replay_f43,high_r2,0.14583333333333334,0.21875,0.1875,0.03125
gpt,mrc_replay_f44,high_r2,0.0625,0.09375,0.09375,0.0
gpt,mrc_replay_f45,high_r2,0.4791666666666667,0.53125,0.4375,0.46875
gpt,mrc_replay_f46,high_r2,0.125,0.09375,0.09375,0.1875
gpt,mrc_replay_f47,high_r2,0.4791666666666667,0.65625,0.71875,0.0625
claude,mrc_replay_f00,early_transient,1.0,,,
claude,mrc_replay_f01,early_transient,1.0,,,
claude,mrc_replay_f02,early_transient,0.0,,,
claude,mrc_replay_f03,pre_onset,0.0,,,
